YEAR,LOC,BRAND,NAME,YIELD,TW,MOIST,HEAD,HT
1982,RPD,,,38.17,60,,140.75,43.25
1982,RPD,,,46.61,56.5,,140,44.25
1982,RPD,,,52.48,60.18,,140.03,42.88
1982,RPD,,,64.71,60,,138.75,43
1982,STD,,,52.82,61.25,,133.25,26
1982,STD,,,47.15,62.01,,134.2,28.91
1982,STD,,,66.38,63.5,,133.5,28.25
1982,STD,,,53.26,63.25,,132.75,26.75
1982,STD,,,35.78,61.25,,136,28
1982,STD,,,63.19,62.5,,136.25,36
1982,STD,,,66.6,63.5,,133.5,32.25
1982,STD,,,65.71,62,,133,30.25
1982,STD,,,44.15,61,,134,31.75
1982,STD,,,56.08,62,,132.5,29.75
1982,STD,,,39.19,62.75,,130.25,29.25
1982,STD,,,22.74,58.25,,135.5,26.75
1982,STD,,,40.08,61.75,,134,27.25
1982,STD,,,38.82,61.75,,134.25,25.5
1982,STD,,,34.97,62.5,,134.25,26.5
1982,STD,,,38.82,60.75,,133.75,26.25
1982,STD,,,49.86,62.5,,133.75,32.25
1982,STD,,,57.71,62,,136.25,31
1982,STD,,,27.34,60.5,,135,25.75
1982,STD,,,51.41,63.25,,136.25,27.5
1982,STD,,,47.71,63.75,,132.25,27
1982,STD,,,48.45,64.25,,135,32.5
1982,STD,,,62.75,63.5,,137.75,33.25
1982,STD,,,45.49,62.25,,134.5,33
1982,STD,,,58.08,63.5,,131,27.5
1982,THD,,,49.38,59.65,,144.25,38.25
1982,THD,,,50,58.67,,139,34.75
1982,THD,,,54.86,58.77,,139.5,36.75
1982,THD,,,47.28,59.6,,140.25,42.75
1982,THD,,,48.67,61.37,,140.75,37.5
1982,THD,,,46.7,59.3,,141,35.75
1982,THD,,,48.79,57.75,,143.75,39.75
1982,THD,,,47.34,57.45,,143.25,36.5
1982,THD,,,47.92,59.52,,140.5,41.5
1982,THD,,,45.84,57.35,,141.75,35.75
1982,THD,,,48.59,60.62,,140.5,36.5
1982,THD,,,48.39,58.72,,141.5,34.75
1982,THD,,,44.53,58.8,,141.75,35.5
1982,THD,,,55,59.95,,145.5,41.5
1982,THD,,,49.2,59.4,,140.75,40.5
1982,THD,,,47.74,59.32,,141.75,40.25
1982,THD,,,39.97,60.17,,144.25,43.25
1982,THD,,,47.64,58.52,,143.5,41.75
1982,THD,,,50.4,59.27,,143,45
1982,THD,,,46.03,58.55,,140.75,38
1982,THD,,,51.18,59.95,,142.25,38.75
1982,THD,,,49.52,58.7,,144.75,42.5
1982,THD,,,53.37,59.05,,141.75,37.5
1982,THD,,,48.6,59.23,,142,38.7
1982,THD,,,47.25,59.3,,140.75,35.75
1982,THD,,,49.51,60.95,,143.25,36.75
1982,THI,,,54.99,58.73,,142.33,43.67
1982,THI,,,52.24,58.23,,141,37.67
1982,THI,,,49.87,58.37,,142,38.33
1982,THI,,,57.51,58.67,,142.67,39.33
1982,THI,,,54.09,60.13,,142.67,39
1982,THI,,,57.72,57.87,,139.33,35.67
1982,THI,,,46.84,56,,144.67,38.33
1982,THI,,,57.94,59.13,,141.67,40.67
1982,THI,,,50.27,58.23,,142.33,40.33
1982,THI,,,57.14,59.97,,145.67,39.33
1982,THI,,,59.4,61.37,,143,37.33
1982,THI,,,62.96,60.7,,142.33,41
1982,THI,,,34.48,57.7,,142.33,44
1982,THI,,,57.9,58.4,,142,38.33
1982,THI,,,47.36,57.97,,142.33,43
1982,THI,,,40.25,57.63,,142.33,41.33
1982,THI,,,59.43,58.5,,142.67,38.33
1982,THI,,,44.77,57.67,,147.33,44.33
1982,THI,,,46.9,57.33,,143,41
1982,THI,,,53.34,58.38,,142.7,40.21
1982,THI,,,54.79,59.5,,141.67,35.33
1982,THI,,,58.03,55.3,,142.33,42.33
1982,THI,,,60.48,59.5,,145.67,43.67
1982,THI,,,64.29,57.8,,141.67,41.33
1982,THI,,,58.62,57.67,,141.33,39.33
1982,THI,,,36.45,56.57,,147,43
1982,THI,,,55.73,58.37,,139.67,37
1982,THI,,,58.57,57.63,,141.67,42
1982,THI,,,54.5,59.77,,143,41
1983,BRD,,,60.6,61,,150,41
1983,BRD,,,57.08,63,,150,46
1983,BRD,,,50.87,60,,151,36.25
1983,BRD,,,55.11,61,,148.5,37.25
1983,BRD,,,51.88,62,,150,38.5
1983,BRD,,,47.75,62.75,,149.25,42.25
1983,BRD,,,47.85,62,,150,48.75
1983,BRD,,,58.06,61.75,,147,37.75
1983,BRD,,,62.78,62,,147.75,36.25
1983,BRD,,,56.55,61,,152.75,35.75
1983,BRD,,,66.78,60,,150.5,39.5
1983,BRD,,,54.56,63,,147.75,37.5
1983,BRD,,,52.93,63,,143.75,45.25
1983,BRD,,,57.01,61,,150,38.75
1983,BRD,,,62.83,62,,147.75,38
1983,BRD,,,58.74,62,,149.5,41.5
1983,BRD,,,57.71,61.63,,149.18,40.88
1983,BRD,,,61.83,63,,151,46.75
1983,BRD,,,66.86,62,,147,40
1983,BRD,,,62.86,62,,145,39
1983,BRD,,,47.43,62,,150,41.25
1983,BRD,,,66.53,61,,150,43.5
1983,BRD,,,69.16,61,,150,40.25
1983,BRD,,,52.59,61,,152,49
1983,BRD,,,53.54,61,,150.5,44.5
1983,BRD,,,54.84,61,,151,38.5
1983,BRD,,,63.57,61,,146.75,40
1983,ELDF,,,58.54,61.6,,146.25,41.75
1983,ELDF,,,62.98,59.4,,146.75,39.5
1983,ELDF,,,61.87,62.65,,144,35.25
1983,ELDF,,,56.69,61.22,,146,42
1983,ELDF,,,58.35,59.42,,147,34.75
1983,ELDF,,,65.95,62.15,,144,34
1983,ELDF,,,59.47,60.87,,146,36.75
1983,ELDF,,,54.83,63.6,,142.25,40.5
1983,ELDF,,,55.76,62.25,,145.25,45.5
1983,ELDF,,,65.02,61.77,,144.25,34.5
1983,ELDF,,,60.21,61.5,,145.5,39.25
1983,ELDF,,,63.36,61.77,,144.25,34.25
1983,ELDF,,,66.88,63.6,,145,34.75
1983,ELDF,,,69.84,60.65,,143.25,36
1983,ELDF,,,62.43,62.7,,146.25,39.75
1983,ELDF,,,62.61,62.12,,143.75,34.25
1983,ELDF,,,67.25,62.57,,143.75,36.25
1983,ELDF,,,59.28,61.1,,146.5,36.5
1983,ELDF,,,60.76,61.35,,146.5,39
1983,ELDF,,,66.88,60.72,,147.25,37.25
1983,ELDF,,,71.51,62.17,,145.75,39.5
1983,ELDF,,,60.21,60.62,,147.5,39.5
1983,ELDF,,,52.98,60.92,,147.5,44.5
1983,ELDF,,,57.98,61.77,,146.5,40.25
1983,ELDF,,,56.69,60.3,,147,36.5
1983,ELDF,,,61.87,60.37,,148,34
1983,ELDF,,,61.54,61.51,,145.62,37.92
1983,FND,,,37.45,58.87,,147.67,40.33
1983,FND,,,46.83,58.53,,146,36
1983,FND,,,36.24,59.77,,146,37.67
1983,FND,,,47.01,55.6,,148,36.67
1983,FND,,,42.17,54.97,,147,36
1983,FND,,,34.48,58.03,,149,37.67
