YEAR,LOC,STATE,COUNTY_CITY,BRAND,NAME,PCODE,YIELD,WATER_REGIME
1992,FRD,KS,FRANKLIN,STAR,GALAXY,1128,48,Dryland
1992,FRD,KS,FRANKLIN,TERRA,TS402,1134,49,Dryland
1992,HVD,KS,HARVEY,NC+,3M28,928,31,Dryland
1992,HVD,KS,HARVEY,PIONEER,9381,941,32,Dryland
1992,HVD,KS,HARVEY,DELTAPINE,DP3456,965,29,Dryland
1992,HVD,KS,HARVEY,MIDLAND,8410,976,35,Dryland
1992,HVD,KS,HARVEY,OHLDE,3750A,1022,28,Dryland
1992,HVD,KS,HARVEY,OHLDE,3500,1023,31,Dryland
1992,HVD,KS,HARVEY,PIONEER,9392,1031,34,Dryland
1992,HVD,KS,HARVEY,NC+,4A10,1049,35,Dryland
1992,HVD,KS,HARVEY,NC+,3A81,926,32,Dryland
1992,HVD,KS,HARVEY,PUBLIC,KENWOOD,1063,33,Dryland
1992,HVD,KS,HARVEY,PUBLIC,CORSICA,1069,30,Dryland
1992,HVD,KS,HARVEY,PUBLIC,K1190,1070,26,Dryland
1992,HVD,KS,HARVEY,PUBLIC,K1191,1071,30,Dryland
1992,HVD,KS,HARVEY,PUBLIC,EDISON,1079,33,Dryland
1992,HVD,KS,HARVEY,ASGROW,A4595,1084,26,Dryland
1992,HVD,KS,HARVEY,DELTAPINE,DP3375,1087,25,Dryland
1992,HVD,KS,HARVEY,STINE,3390,1129,32,Dryland
1992,HVD,KS,HARVEY,PUBLIC,K1200,1140,34,Dryland
1992,HVD,KS,HARVEY,PUBLIC,K1164,1066,33,Dryland
1992,FRD,KS,FRANKLIN,STINE,4350,1130,44,Dryland
1992,HVD,KS,HARVEY,PUBLIC,FLYER,892,32,Dryland
1992,HVD,KS,HARVEY,DELANGE,DS 455,798,28,Dryland
1992,FRD,KS,FRANKLIN,WILDCAT,GDI,1136,45,Dryland
1992,FRD,KS,FRANKLIN,WILLCROSS,92A,1137,52,Dryland
1992,FRD,KS,FRANKLIN,WILLCROSS,92B,1138,51,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1200,1140,42,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1210,1141,43,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1212,1142,47,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1213,1143,50,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1216,1144,40,Dryland
1992,HVD,KS,HARVEY,PUBLIC,RESNIK,825,36,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,K1218,1145,47,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,HAMILTON,1147,45,Dryland
1992,HVD,KS,HARVEY,PUBLIC,WILLIAMS 82,306,24,Dryland
1992,HVD,KS,HARVEY,PUBLIC,SPARKS,307,24,Dryland
1992,HVD,KS,HARVEY,ASGROW,A3935,662,28,Dryland
1992,HVD,KS,HARVEY,DELANGE,DS 360,739,30,Dryland
1992,HVD,KS,HARVEY,DELANGE,DS 390,740,26,Dryland
1992,HVD,KS,HARVEY,MIDLAND,8340,768,31,Dryland
1992,HVD,KS,HARVEY,PIONEER,9391,770,28,Dryland
1992,FRD,KS,FRANKLIN,PUBLIC,HARTWIG,1146,33,Dryland
1992,RPI,KS,REPUBLIC,STAR,GALAXY,1128,61,Irrigated
1992,RPI,KS,REPUBLIC,WILDCAT,GDI,1136,51,Irrigated
1992,RPI,KS,REPUBLIC,WILLCROSS,92A,1137,62,Irrigated
1992,STI,KS,STAFFORD,MIDLAND,8410,976,60,Irrigated
1992,STI,KS,STAFFORD,OHLDE,3750A,1022,55,Irrigated
1992,STI,KS,STAFFORD,GOLDEN HARVEST,H-1407,1043,56,Irrigated
1992,STI,KS,STAFFORD,NC+,4A10,1049,58,Irrigated
1992,STI,KS,STAFFORD,OHLDE,4040,1054,60,Irrigated
1992,STI,KS,STAFFORD,PUBLIC,KENWOOD,1063,46,Irrigated
1992,STI,KS,STAFFORD,PUBLIC,K1164,1066,54,Irrigated
1992,STI,KS,STAFFORD,PUBLIC,CORSICA,1069,53,Irrigated
1992,STI,KS,STAFFORD,DELTAPINE,DP3456,965,54,Irrigated
1992,STI,KS,STAFFORD,PUBLIC,K1190,1070,64,Irrigated
1992,STI,KS,STAFFORD,PUBLIC,EDISON,1079,54,Irrigated
1992,STI,KS,STAFFORD,ASGROW,A4138,1083,55,Irrigated
1992,STI,KS,STAFFORD,DEKALB,CX404,1086,60,Irrigated
1992,STI,KS,STAFFORD,DELTAPINE,DP3375,1087,56,Irrigated
1992,STI,KS,STAFFORD,GOLDEN HARVEST,H-1353,1090,60,Irrigated
1992,STI,KS,STAFFORD,OHLDE,3272,1118,52,Irrigated
1992,STI,KS,STAFFORD,OHLDE,EX816 EXP,1122,54,Irrigated
1992,STI,KS,STAFFORD,STAR,3058,1127,56,Irrigated
1992,STI,KS,STAFFORD,PUBLIC,K1191,1071,56,Irrigated
1992,STI,KS,STAFFORD,STAR,GALAXY,1128,58,Irrigated
1992,STI,KS,STAFFORD,STAR,EXPRESS,946,54,Irrigated
1992,STI,KS,STAFFORD,PIONEER,9341,939,52,Irrigated
1992,STI,KS,STAFFORD,DEKALB,CX415,552,60,Irrigated
1992,STI,KS,STAFFORD,STINE,3790,658,48,Irrigated
1992,STI,KS,STAFFORD,ASGROW,A3935,662,55,Irrigated
1992,STI,KS,STAFFORD,NORTHRUP KING,S44-77,687,53,Irrigated
1992,STI,KS,STAFFORD,DELANGE,DS 360,739,52,Irrigated
1992,STI,KS,STAFFORD,DELANGE,DS 390,740,54,Irrigated
1992,STI,KS,STAFFORD,NORTHRUP KING,S36-36,760,51,Irrigated
1992,STI,KS,STAFFORD,MIDLAND,8340,768,49,Irrigated
1992,STI,KS,STAFFORD,PIONEER,9381,941,52,Irrigated
1992,STI,KS,STAFFORD,PIONEER,9391,770,56,Irrigated
1992,STI,KS,STAFFORD,DEKALB,CX458,797,63,Irrigated
1992,STI,KS,STAFFORD,DELANGE,DS 455,798,54,Irrigated
1992,STI,KS,STAFFORD,PUBLIC,RESNIK,825,55,Irrigated
1992,STI,KS,STAFFORD,OHLDE,3710A,854,55,Irrigated
1992,STI,KS,STAFFORD,NORTHRUP KING,S42-50,880,61,Irrigated
1992,STI,KS,STAFFORD,PUBLIC,FLYER,892,58,Irrigated
1992,STI,KS,STAFFORD,NC+,3A81,926,54,Irrigated
1992,STI,KS,STAFFORD,NC+,3M28,928,51,Irrigated
1992,STI,KS,STAFFORD,STAR,BUCHANAN,771,54,Irrigated
1992,STI,KS,STAFFORD,PUBLIC,WILLIAMS 82,306,46,Irrigated
1992,STI,KS,STAFFORD,PUBLIC,K1200,1140,47,Irrigated
1992,STI,KS,STAFFORD,PUBLIC,K1213,1143,53,Irrigated
1992,THI,KS,THOMAS,PUBLIC,CORSICA,1069,58,Irrigated
1992,THI,KS,THOMAS,PUBLIC,K1190,1070,59,Irrigated
1992,THI,KS,THOMAS,PUBLIC,EDISON,1079,55,Irrigated
1992,THI,KS,THOMAS,AGRIGENE,AG544,1080,53,Irrigated
1992,THI,KS,THOMAS,DELTAPINE,DP3375,1087,60,Irrigated
1992,THI,KS,THOMAS,GREAT LAKES,GL 2598,1091,49,Irrigated
1992,THI,KS,THOMAS,GREAT LAKES,GL 2821,1092,51,Irrigated
1992,THI,KS,THOMAS,GREAT LAKES,GL 3105,1093,58,Irrigated
1992,THI,KS,THOMAS,PUBLIC,K1164,1066,60,Irrigated
1992,THI,KS,THOMAS,ICI,D371,1100,58,Irrigated
1992,THI,KS,THOMAS,NC+,2D90+,1115,54,Irrigated
1992,THI,KS,THOMAS,NORTHRUP KING,S25-15,1117,55,Irrigated
1992,THI,KS,THOMAS,OHLDE,3374,1119,55,Irrigated
1992,THI,KS,THOMAS,OHLDE,EX208 EXP,1121,57,Irrigated
1992,THI,KS,THOMAS,OHLDE,EX829 EXP,1123,57,Irrigated
1992,THI,KS,THOMAS,OTTILIE,8310,1124,56,Irrigated
1992,THI,KS,THOMAS,PUBLIC,K1200,1140,60,Irrigated
1992,THI,KS,THOMAS,PUBLIC,K1210,1141,51,Irrigated
1992,THI,KS,THOMAS,MCCURDY,331,1105,63,Irrigated
1992,STI,KS,STAFFORD,PUBLIC,K1210,1141,45,Irrigated
1992,THI,KS,THOMAS,PUBLIC,KENWOOD,1063,54,Irrigated
1992,THI,KS,THOMAS,OHLDE,EX130 EXP,1021,55,Irrigated
1992,THI,KS,THOMAS,PUBLIC,WILLIAMS 82,306,50,Irrigated
1992,THI,KS,THOMAS,DEKALB,CX366,625,55,Irrigated
1992,THI,KS,THOMAS,ASGROW,A3935,662,55,Irrigated
1992,THI,KS,THOMAS,PUBLIC,KS4390,718,51,Irrigated
1992,THI,KS,THOMAS,NORTHRUP KING,S36-36,760,56,Irrigated
1992,THI,KS,THOMAS,OHLDE,3000,762,61,Irrigated
1992,THI,KS,THOMAS,PUBLIC,RESNIK,825,52,Irrigated
1992,THI,KS,THOMAS,ASGROW,A3322,833,50,Irrigated
1992,THI,KS,THOMAS,STINE,3260,1036,60,Irrigated
1992,THI,KS,THOMAS,PUBLIC,FLYER,892,53,Irrigated
1992,THI,KS,THOMAS,OHLDE,2929,900,54,Irrigated
1992,THI,KS,THOMAS,GOLDEN HARVEST,H-1308,909,58,Irrigated
1992,THI,KS,THOMAS,NC+,3M28,928,55,Irrigated
1992,THI,KS,THOMAS,PIONEER,9303,938,62,Irrigated
1992,THI,KS,THOMAS,PIONEER,9341,939,62,Irrigated
1992,THI,KS,THOMAS,PIONEER,9381,941,60,Irrigated
1992,THI,KS,THOMAS,NORTHRUP KING,S29-39,996,58,Irrigated
1992,THI,KS,THOMAS,DEKALB,CX329,1003,52,Irrigated
1992,THI,KS,THOMAS,OHLDE,3293,898,61,Irrigated
1992,FRD,KS,FRANKLIN,NORTHRUP KING,S39-11,1020,44,Dryland
1992,SHI,KS,SHERMAN,PUBLIC,K1213,1143,58,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,K1210,1141,46,Irrigated
1992,SHI,KS,SHERMAN,NORTHRUP KING,S42-50,880,60,Irrigated
1992,SHI,KS,SHERMAN,PIONEER,9411,883,63,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,FLYER,892,64,Irrigated
1992,SHI,KS,SHERMAN,GOLDEN HARVEST,H-1308,909,45,Irrigated
1992,SHI,KS,SHERMAN,MERSCHMAN,EISENHOWER II,924,54,Irrigated
1992,SHI,KS,SHERMAN,MERSCHMAN,ROOSEVELT,925,58,Irrigated
1992,SHI,KS,SHERMAN,NC+,3A81,926,54,Irrigated
1992,SHI,KS,SHERMAN,NC+,3M28,928,53,Irrigated
1992,SHI,KS,SHERMAN,MERSCHMAN,BOSTON III,876,68,Irrigated
1992,SHI,KS,SHERMAN,MIDLAND,8370,935,59,Irrigated
1992,SHI,KS,SHERMAN,STAR,EXPRESS,946,56,Irrigated
1992,SHI,KS,SHERMAN,MIDLAND,8410,976,65,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,KUNITZ,984,49,Irrigated
1992,SHI,KS,SHERMAN,NORTHRUP KING,S29-39,996,49,Irrigated
1992,SHI,KS,SHERMAN,HAMON,490,1011,56,Irrigated
1992,SHI,KS,SHERMAN,HYPERFORMER,HSC 355,1015,54,Irrigated
1992,SHI,KS,SHERMAN,HYPERFORMER,HSC 317,1016,54,Irrigated
1992,SHI,KS,SHERMAN,NECO,7392,1018,60,Irrigated
1992,SHI,KS,SHERMAN,PIONEER,9381,941,61,Irrigated
1992,SHI,KS,SHERMAN,NECO,1051N,1019,59,Irrigated
1992,SHI,KS,SHERMAN,OHLDE,3710A,854,53,Irrigated
1992,SHI,KS,SHERMAN,STAR,BUCHANAN,771,54,Irrigated
1992,RPI,KS,REPUBLIC,WILLCROSS,92B,1138,62,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,K1200,1140,52,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,K1210,1141,57,Irrigated
1992,RPI,KS,REPUBLIC,PUBLIC,K1213,1143,60,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,WILLIAMS 82,306,54,Irrigated
1992,SHI,KS,SHERMAN,NORTHRUP KING,S42-40,496,63,Irrigated
1992,SHI,KS,SHERMAN,DEKALB,CX415,552,66,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,SHERMAN,614,58,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,RESNIK,825,52,Irrigated
1992,SHI,KS,SHERMAN,DEKALB,CX366,625,61,Irrigated
1992,SHI,KS,SHERMAN,ASGROW,A3935,662,58,Irrigated
1992,SHI,KS,SHERMAN,MERSCHMAN,ATLANTA II,681,60,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,KS4390,718,60,Irrigated
1992,SHI,KS,SHERMAN,DELANGE,DS 360,739,60,Irrigated
1992,SHI,KS,SHERMAN,DELANGE,DS 390,740,53,Irrigated
1992,SHI,KS,SHERMAN,HOEGEMEYER,395,749,56,Irrigated
1992,SHI,KS,SHERMAN,MIDLAND,8340,768,57,Irrigated
1992,SHI,KS,SHERMAN,PIONEER,9391,770,58,Irrigated
1992,SHI,KS,SHERMAN,MERSCHMAN,WASHINGTON VI,636,56,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,K1212,1142,63,Irrigated
1992,SHI,KS,SHERMAN,NORTHRUP KING,S39-11,1020,63,Irrigated
1992,SHI,KS,SHERMAN,PIONEER,9392,1031,53,Irrigated
1992,SHI,KS,SHERMAN,DELTAPINE,DP3375,1087,58,Irrigated
1992,SHI,KS,SHERMAN,GOLDEN HARVEST,H-1353,1090,62,Irrigated
1992,SHI,KS,SHERMAN,HOEGEMEYER,380,1097,64,Irrigated
1992,SHI,KS,SHERMAN,HYPERFORMER,HSC 339,1098,51,Irrigated
1992,SHI,KS,SHERMAN,HYPERFORMER,HSC 398,1099,62,Irrigated
1992,SHI,KS,SHERMAN,ICI,D371,1100,61,Irrigated
1992,SHI,KS,SHERMAN,JACQUES,J-399,1101,63,Irrigated
1992,SHI,KS,SHERMAN,LEWIS,452,1104,67,Irrigated
1992,SHI,KS,SHERMAN,DEKALB,CX404,1086,66,Irrigated
1992,SHI,KS,SHERMAN,MCCURDY,393,1106,55,Irrigated
1992,SHI,KS,SHERMAN,MIDLAND,8343,1109,61,Irrigated
1992,SHI,KS,SHERMAN,MIDLAND,8393,1110,55,Irrigated
1992,SHI,KS,SHERMAN,STAR,3058,1127,49,Irrigated
1992,SHI,KS,SHERMAN,STAR,GALAXY,1128,60,Irrigated
1992,SHI,KS,SHERMAN,STINE,3390,1129,64,Irrigated
1992,SHI,KS,SHERMAN,WILLCROSS,92A,1137,55,Irrigated
1992,SHI,KS,SHERMAN,WILLCROSS,92B,1138,53,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,K1200,1140,49,Irrigated
1992,SHI,KS,SHERMAN,MERSCHMAN,COOLIDGE,1108,54,Irrigated
1992,SHI,KS,SHERMAN,OHLDE,3750A,1022,61,Irrigated
1992,SHI,KS,SHERMAN,ASGROW,A3237,1081,58,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,FAYETTE,1078,52,Irrigated
1992,SHI,KS,SHERMAN,STINE,3260,1036,58,Irrigated
1992,SHI,KS,SHERMAN,TAYLOR,399,1037,60,Irrigated
1992,SHI,KS,SHERMAN,WILLCROSS,90,1040,53,Irrigated
1992,SHI,KS,SHERMAN,DIAMOND,SC400,1042,63,Irrigated
1992,SHI,KS,SHERMAN,GOLDEN HARVEST,H-1407,1043,61,Irrigated
1992,SHI,KS,SHERMAN,HOEGEMEYER,401,1044,71,Irrigated
1992,SHI,KS,SHERMAN,MERSCHMAN,AUSTIN,1047,59,Irrigated
1992,SHI,KS,SHERMAN,MERSCHMAN,NORFOLK,1048,63,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,EDISON,1079,54,Irrigated
1992,SHI,KS,SHERMAN,NC+,4A10,1049,66,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,K1164,1066,50,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,DELSOY 4210,1067,63,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,CORSICA,1069,55,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,K1190,1070,67,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,K1191,1071,70,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,LINFORD,1074,53,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,DELSOY 4500,1075,54,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,DELSOY 4900,1076,61,Irrigated
1992,SHI,KS,SHERMAN,PUBLIC,KENWOOD,1063,50,Irrigated
1992,FRD,KS,FRANKLIN,NECO,1051N,1019,44,Dryland
1992,FRD,KS,FRANKLIN,TRIUMPH,T 451,1135,46,Dryland
1992,FRD,KS,FRANKLIN,NC+,3A63,1017,42,Dryland
1992,BRD,KS,BROWN,PUBLIC,K1200,1140,42,Dryland
1992,BRD,KS,BROWN,WILSON,4010,1139,50,Dryland
1992,BRD,KS,BROWN,WILLCROSS,92B,1138,47,Dryland
